"cc","fs.mean","fs.25","fs.75","species","fsmean_trans","fs25_trans","fs75_trans","cc_trans"
"1",-0.69242109554193,-0.69845722367196,-0.686543504678793,"AESHIP",0.333494705080737,0.332154369914207,0.334802428428366,1
"0",-1.04678007969911,-1.05239189707748,-1.04108266049493,"AESHIP",0.259843893095907,0.258766055513437,0.260941147869522,0
"1",-0.608133718359632,-0.615198658357242,-0.60123059291341,"ALNGLU",0.352485039442832,0.350874227688864,0.354062203999967,1
"0",-1.02247100670717,-1.03008145829586,-1.01494177080872,"ALNGLU",0.264546357928883,0.263068312081621,0.266013852601237,0
"1",-0.606784579433011,-0.612710692784583,-0.600765283798388,"aaBETPEN",0.35279302726463,0.351441100498293,0.354168628424457,1
"0",-1.01750746665757,-1.02326664407802,-1.01166263290153,"aaBETPEN",0.265513200082981,0.264391586465352,0.266654596912431,0
"1",-1.22015500244722,-1.22747252351058,-1.21266377626538,"FAGSYL",0.227909174171979,0.226624099355272,0.229230065830172,1
"0",-1.25106876520656,-1.25761717357571,-1.24453697903966,"FAGSYL",0.222515185283881,0.221384355230241,0.223647246317842,0
"1",-2.30052821474761,-2.3101815877793,-2.29088899866799,"zFRAEXC",0.0910792239453064,0.0902832293952932,0.0918803464329768,1
"0",-2.24094548292625,-2.2523096476852,-2.22931436907443,"zFRAEXC",0.0961333556836024,0.0951504255480898,0.0971487616700576,0
"1",-1.94017466258589,-1.94899806453482,-1.9312579138461,"QUEROB",0.125628669255716,0.124662650152918,0.126611413450185,1
"0",-1.88558720929551,-1.89379224179062,-1.87736264974479,"QUEROB",0.131748432255793,0.130812684791083,0.13269209883155,0
