"cc","fs.mean","fs.02","fs.98","species","sppbycc"
1,-0.919672429740774,-0.987936361563895,-0.850023260187476,"AESHIP",-0.53
0,-0.689973209995889,-0.74720943622531,-0.634157278460412,"AESHIP",-0.88
1,-0.764754157063717,-0.848012355381877,-0.683699031917401,"ALNGLU",-0.41
0,-0.600203326775054,-0.670283392393366,-0.527178620943592,"ALNGLU",-0.82
1,-0.872454252166703,-0.946559253564474,-0.800337059158788,"aaBETPEN",-0.41
0,-0.704302079274973,-0.757523105295257,-0.649599744876686,"aaBETPEN",-0.83
1,-1.58579382085963,-1.66501257191047,-1.50177348515647,"FAGSYL",-1.2
0,-1.02517239105132,-1.08977166658878,-0.959452253024529,"FAGSYL",-1.23
1,-2.37878682660011,-2.50287996628793,-2.25141207968633,"zFRAEXC",-2.48
0,-1.83219774689266,-1.94440980792423,-1.71951146160771,"zFRAEXC",-2.31
1,-2.32698416629738,-2.42396502749241,-2.23081490699141,"QUEROB",-1.97
0,-1.69520277906863,-1.7779442735764,-1.61535049226476,"QUEROB",-1.91
