"cc","species","fsavg_sp","fs_sp","fsavg_all","fs_all"
"1","AESHIP",0.406011618598535,-0.386135329981828,0.29680030535259,-1.04509211157596
"0","AESHIP",0.325219747887874,-0.740409437951671,0.253317496503429,-1.20981832960477
"1","ALNGLU",0.434802884572594,-0.267142541624804,0.29680030535259,-1.04509211157596
"0","ALNGLU",0.338639580110696,-0.681394953785004,0.253317496503429,-1.20981832960477
"1","aaBETPEN",0.438772627510639,-0.251109591689571,0.29680030535259,-1.04509211157596
"0","aaBETPEN",0.343207749280142,-0.661747602726795,0.253317496503429,-1.20981832960477
"1","FAGSYL",0.289103012258308,-0.912543101092475,0.29680030535259,-1.04509211157596
"0","FAGSYL",0.282886319383673,-0.943371987664476,0.253317496503429,-1.20981832960477
"1","zFRAEXC",0.0649068581402988,-2.68987070876522,0.29680030535259,-1.04509211157596
"0","zFRAEXC",0.0757675445941754,-2.52290692867649,0.253317496503429,-1.20981832960477
"1","QUEROB",0.147204831035165,-1.76375139630188,0.29680030535259,-1.04509211157596
"0","QUEROB",0.154184037764014,-1.70907906682417,0.253317496503429,-1.20981832960477
