"species","var","rndm","2.5%","95%","Estimate","legend"
"0","sp.temp",1,-0.358834463262387,-0.138197166187249,-0.255708727270336,"Overall Effects"
"0","cc",1,-0.228951605651982,0.26398942251688,0.0217451072336203,"Overall Effects"
"0","sm.elev",1,0.000994839430569216,0.106190477301728,0.0521520337772755,"Overall Effects"
"0","sp.temp:sm.elev",1,0.0242299187081888,0.0284243688934541,0.0263074063080063,"Overall Effects"
"1","sp.temp",2,-0.487345417861488,-0.260811141106053,-0.367775719623541,"Aesculus hippocastanum"
"1","cc",2,-0.167313923198983,0.339722780472024,0.0831548240181088,"Aesculus hippocastanum"
"1","sm.elev",2,-0.0485737200145025,0.0595998790178035,0.0076240350145993,"Aesculus hippocastanum"
"1","sp.temp:sm.elev",2,0.0515944384832001,0.113100665189011,0.082213914156703,"Aesculus hippocastanum"
"2","sp.temp",2,-0.4241038634759,-0.191343381663192,-0.301204293146435,"Alnus glutinosa"
"2","cc",2,0.119920084562557,0.659027199473128,0.369226551564253,"Alnus glutinosa"
"2","sm.elev",2,0.0196491408440963,0.131805832052654,0.0755010834610921,"Alnus glutinosa"
"2","sp.temp:sm.elev",2,-0.0054930817112983,0.0895412143326952,0.0413855478985807,"Alnus glutinosa"
"3","sp.temp",2,-0.300365985617742,-0.080260909475096,-0.183939189061547,"Betula pendula"
"3","cc",2,-0.282174413686313,0.216302754161681,-0.0327540916628601,"Betula pendula"
"3","sm.elev",2,0.059898507996557,0.167703478089566,0.11357869053291,"Betula pendula"
"3","sp.temp:sm.elev",2,0.0342431539529485,0.0731488874850772,0.0541819899601966,"Betula pendula"
"4","sp.temp",2,-0.421810276307578,-0.19337831594289,-0.301996671215182,"Fagus sylvatica"
"4","cc",2,-0.395978469185545,0.122083628830799,-0.134296147197149,"Fagus sylvatica"
"4","sm.elev",2,-0.0011835882515756,0.108532482520162,0.05553006075955,"Fagus sylvatica"
"4","sp.temp:sm.elev",2,0.0676784868490059,0.135724643507885,0.101718578425785,"Fagus sylvatica"
"5","sp.temp",2,-0.254162111984284,-0.02182533764594,-0.137902119757064,"Fraxinus excelsior"
"5","cc",2,-0.346940164550047,0.196411662203504,-0.0671378120886959,"Fraxinus excelsior"
"5","sm.elev",2,-0.0449445965016878,0.069216258216379,0.0156795166431566,"Fraxinus excelsior"
"5","sp.temp:sm.elev",2,0.0100501406115001,0.115780423737821,0.0638863055504498,"Fraxinus excelsior"
"6","sp.temp",2,-0.376023466701467,-0.145883754030397,-0.254684093811111,"Quercus robur"
"6","cc",2,-0.339684489198697,0.171901259205905,-0.0814303742504017,"Quercus robur"
"6","sm.elev",2,-0.0144399983628328,0.0956949213488947,0.0423808352110858,"Quercus robur"
"6","sp.temp:sm.elev",2,0.0472680990300877,0.118306810777916,0.0822263305740687,"Quercus robur"
