"species","lowclean","highclean","estclean","Jvar","termclean"
"AESHIP",0.130566767445606,0.174871579677693,0.152520250680131,7.8,"nao.z"
"AESHIP",-0.528146609436259,-0.480137904662162,-0.503957467278374,10.8,"mat.z"
"AESHIP",0.378684621179277,0.43076713343658,0.404752062886864,9.8,"dist.z"
"AESHIP",0.124304906727617,0.179068280175244,0.151761930835028,8.8,"elev.z"
"AESHIP",-0.0839962583198776,-0.0448298876596083,-0.0643304554853067,6.8,"space.z"
"AESHIP",0.322692713047533,0.366745711743548,0.344581561548375,5.8,"cc.z"
"ALNGLU",-0.00955820671471899,0.10581688857887,0.047996986687333,7.75,"nao.z"
"aaBETPEN",0.001583185199894,0.107944600269638,0.0550708798765286,7.7,"nao.z"
"FAGSYL",0.415534126270784,0.551314588951885,0.482774028160734,7.65,"nao.z"
"zFRAEXC",0.146466259772703,0.325608058249821,0.236406115991971,7.6,"nao.z"
"QUEROB",0.268391104529531,0.413261454279084,0.340761462003454,7.55,"nao.z"
"ALNGLU",-0.390456023594928,-0.260619511831246,-0.325569759316902,10.75,"mat.z"
"aaBETPEN",-0.587567315990579,-0.471304843614227,-0.529815195535802,10.7,"mat.z"
"FAGSYL",-0.611676793363077,-0.466173769808803,-0.539618306877238,10.65,"mat.z"
"zFRAEXC",-0.096315410020089,0.110939750847621,0.00689140764081297,10.6,"mat.z"
"QUEROB",-0.484946494951282,-0.331702089194096,-0.408592832891553,10.55,"mat.z"
"ALNGLU",0.253960196748669,0.390478455271416,0.322282622690666,9.75,"dist.z"
"aaBETPEN",0.360592276090142,0.484967774437887,0.422821559217005,9.7,"dist.z"
"FAGSYL",0.26862772279692,0.425504355249749,0.346699313546722,9.65,"dist.z"
"zFRAEXC",0.514602053669545,0.724423274404374,0.619017399135848,9.6,"dist.z"
"QUEROB",0.133223730616586,0.301876466472231,0.217007414138977,9.55,"dist.z"
"ALNGLU",0.143585202174732,0.290083211584573,0.217170006196612,8.75,"elev.z"
"aaBETPEN",0.10808362335767,0.239170492675991,0.173255513134756,8.7,"elev.z"
"FAGSYL",0.022300008194563,0.186731521055222,0.104387448687402,8.65,"elev.z"
"zFRAEXC",-0.179544697820203,0.055325123382233,-0.062071214589987,8.6,"elev.z"
"QUEROB",0.12008436568512,0.29847640754821,0.210035061863436,8.55,"elev.z"
"ALNGLU",-0.0946474655183084,0.0073021621696027,-0.0431851301264215,6.75,"space.z"
"aaBETPEN",-0.120464804115955,-0.0265077581555222,-0.07341417939462,6.7,"space.z"
"FAGSYL",-0.21662556635114,-0.0952278382255576,-0.156308417587022,6.65,"space.z"
"zFRAEXC",-0.157915905421815,0.00627892992528861,-0.0753246961876878,6.6,"space.z"
"QUEROB",-0.133662941177433,-0.0045066937308029,-0.068927300534438,6.55,"space.z"
"ALNGLU",0.351518845803825,0.466259451854651,0.408881984506956,5.75,"cc.z"
"aaBETPEN",0.360878004573387,0.466209120682566,0.4126452266441,5.7,"cc.z"
"FAGSYL",-0.193682570433091,-0.060285524700685,-0.126260173593596,5.65,"cc.z"
"zFRAEXC",-0.228863757152232,-0.052693779236469,-0.14065279731285,5.6,"cc.z"
"QUEROB",-0.151337501139377,-0.00850158435522302,-0.080122541005164,5.55,"cc.z"
"aaall",0.1588305394173,0.279802861667832,0.219254953900025,8,"nao.z"
"aaall",-0.449851441226036,-0.316499728043819,-0.383443692376509,11,"mat.z"
"aaall",0.31828176685019,0.459669576545373,0.388763395269347,10,"dist.z"
"aaall",0.0564689013865832,0.208142506070245,0.132423124354541,9,"elev.z"
"aaall",-0.134552156817421,-0.0262485142794333,-0.0802483632192493,7,"space.z"
"aaall",0.0768676224500075,0.196288899331398,0.136512210131303,6,"cc.z"
"aaall",-0.681585721209516,-0.593633565286638,-0.636852531874647,2,"nao.z:cc.z"
"aaall",0.543034383043795,0.640294673149735,0.591829206779028,5,"mat.z:cc.z"
"aaall",-0.217690343742239,-0.11315432683917,-0.16522006502665,4,"dist.z:cc.z"
"aaall",0.0766295054346027,0.187725826703456,0.132028563031837,3,"elev.z:cc.z"
"aaall",-0.112453438135057,-0.0362023216118085,-0.0745510324791869,1,"space.z:cc.z"
