"term","estimate","std.error","lower","upper"
"b_Intercept",-0.88472486621147,0.00611411690611861,-0.894527396484337,-0.874531568949928
"b_nao.z",0.143026344083204,0.0129907364144913,0.122130913161646,0.164764874350565
"b_mat.z",-0.476679772685126,0.0139772412606702,-0.499883473247457,-0.452282884391311
"b_dist.z",0.402277523942471,0.0147123347187011,0.376002482156894,0.426302763279794
"b_elev.z",0.191231981783541,0.0162963011754688,0.165703568030248,0.217739260749252
"b_space.z",-0.0639931740976729,0.0116119821472027,-0.0833850381162929,-0.044857550707297
"b_cc.z",0.352377514529801,0.0125015105016642,0.331948823144437,0.37287595113977
"b_speciesALNGLU",0.0519344196574768,0.00981663074431366,0.0356155857740514,0.067434816784063
"b_speciesBETPEN",0.0549314334218102,0.00817271322605607,0.0416141576296572,0.0684822218061803
"b_speciesFAGSYL",-0.352138015657106,0.00915400204719015,-0.367163423068321,-0.337317887412974
"b_speciesFRAEXC",-1.43280037052275,0.0139941500907141,-1.45512737294226,-1.40979898968864
"b_speciesQUEROB",-1.02551649506909,0.0104393202028098,-1.04354407413979,-1.00900781487719
"b_nao.z:speciesALNGLU",-0.0730747439460807,0.0209835397788569,-0.107859805433444,-0.0393044533102754
"b_nao.z:speciesBETPEN",-0.0846685982527093,0.0181193813930329,-0.114061421986002,-0.0547137591025566
"b_nao.z:speciesFAGSYL",0.120088161420663,0.0200947895235926,0.086746745927643,0.154205690281911
"b_nao.z:speciesFRAEXC",0.0314704209833346,0.0287708603222275,-0.0156207824132475,0.0772293352768806
"b_nao.z:speciesQUEROB",0.0764754170582608,0.0226227535321928,0.0393513192491864,0.113145735100742
"b_mat.z:speciesALNGLU",0.140857986131254,0.0243924448284095,0.100559805643022,0.181223407254914
"b_mat.z:speciesBETPEN",-0.0207215855341552,0.0203479444102799,-0.0536084521639427,0.012490926826592
"b_mat.z:speciesFAGSYL",-0.0603615558126143,0.0221475277497572,-0.0969689547078206,-0.0237403072852465
"b_mat.z:speciesFRAEXC",0.3186779743244,0.0347486100975221,0.260534507568087,0.376444936239622
"b_mat.z:speciesQUEROB",0.103959986026771,0.0247227329593752,0.063809374152138,0.145421255687318
"b_dist.z:speciesALNGLU",-0.0679560651370312,0.0254593186697658,-0.109164062005525,-0.0261373851581384
"b_dist.z:speciesBETPEN",0.012077795395352,0.0213444054915746,-0.0230880627790294,0.0468831451841113
"b_dist.z:speciesFAGSYL",-0.00279111197069706,0.0235823579187134,-0.0414067993058582,0.0367035225181906
"b_dist.z:speciesFRAEXC",0.255686652923984,0.0345993621749486,0.198986870792076,0.312121479367807
"b_dist.z:speciesQUEROB",-0.098918941840766,0.027257625777256,-0.14164973208954,-0.0534083276407012
"b_elev.z:speciesALNGLU",0.0213877586623579,0.0286585497632617,-0.0264728631483175,0.0678160680469573
"b_elev.z:speciesBETPEN",0.0308388835675971,0.022158845972032,-0.00629122573160833,0.0673825600125696
"b_elev.z:speciesFAGSYL",0.000326520082270143,0.0248701865615872,-0.0393565087036713,0.0413411276441339
"b_elev.z:speciesFRAEXC",-0.370832035481256,0.0397388314313001,-0.433854413383384,-0.303266848703732
"b_elev.z:speciesQUEROB",-0.0807734581674102,0.0288880498535076,-0.128381862513534,-0.0344457311188832
"b_space.z:speciesALNGLU",0.0135452735755065,0.0188488964807171,-0.0168432500148201,0.0461070401758236
"b_space.z:speciesBETPEN",-0.00861078136295224,0.0162250745359154,-0.0346283395704577,0.0174949030493315
"b_space.z:speciesFAGSYL",-0.0417504678694106,0.0183242917021975,-0.0713819712622946,-0.0129700382044865
"b_space.z:speciesFRAEXC",0.0492210371039865,0.0278108699719259,0.00652920383761458,0.0946259753259938
"b_space.z:speciesQUEROB",0.0176467258001389,0.021045898323184,-0.0160373834232695,0.0511218576862843
"b_cc.z:speciesALNGLU",0.0598927984756945,0.0206111790385963,0.0258423643556141,0.0964304594547117
"b_cc.z:speciesBETPEN",0.056765134598801,0.0177459411794352,0.0275913204573387,0.0867288360456576
"b_cc.z:speciesFAGSYL",-0.32196089964662,0.0201018024639847,-0.353585615855137,-0.28915712645247
"b_cc.z:speciesFRAEXC",-0.517433537817108,0.0286318211765244,-0.564769013396431,-0.470043741155738
"b_cc.z:speciesQUEROB",-0.406162405606701,0.0216039237303744,-0.442941904165843,-0.369082659979895
"b_nao.z:cc.z",-0.826775619642056,0.012756975732165,-0.848398505390477,-0.805583404041343
"b_mat.z:cc.z",0.420612911927232,0.0145345366541599,0.397215526660547,0.44488552234419
"b_dist.z:cc.z",-0.124328085656084,0.0157711154389217,-0.150190063382502,-0.0988550664744393
"b_elev.z:cc.z",0.00110505257390593,0.0165137462436632,-0.0259977086521572,0.0273181306687637
"b_space.z:cc.z",-0.0473007461190423,0.0121293693639253,-0.0660367815319716,-0.0281322059814876
"lp__",-379634.227842389,4.91860742351459,-379643.241709298,-379627.246544363
